"subject","y.brand","x.brand","pos_num.brand","manip_ok.brand","y.pop","x.pop","pos_num.pop","manip_ok.pop","y.rep","x.rep","pos_num.rep","manip_ok.rep","inv_app","inv_dl","inv_cat","manip_ok_all"
8108,6,1,3,1,5,0,2,1,4,0,1,1,-0.661865569,0.973360656,0.519791667,3
8109,4,1,1,1,3,1,2,1,5,1,3,1,-0.328532236,0.973360656,0.644791667,3
8110,3,1,3,1,4,0,2,0,2,1,1,1,-0.328532236,-0.026639344,0.519791667,2
8111,2,0,1,1,5,1,3,1,5,1,2,1,0.338134431,2.306693989,0.894791667,3
8113,7,1,1,1,5,1,2,1,5,1,3,1,0.671467764,0.973360656,0.519791667,3
8114,4,1,3,1,5,1,2,1,2,0,1,1,0.004801097,1.306693989,-0.605208333,3
8115,6,1,2,0,5,1,1,1,2,0,3,1,-1.328532236,-2.359972678,-0.855208333,2
8116,5,0,2,0,6,0,1,1,7,1,3,1,0.671467764,-0.026639344,-2.105208333,2
8117,6,1,2,1,2,0,1,1,3,1,3,0,-0.661865569,-0.359972678,-3.105208333,2
8118,5,1,3,1,2,0,2,1,3,0,1,1,-0.328532236,-1.359972678,-0.355208333,3
8119,5,0,3,0,5,0,2,0,5,1,1,1,-0.995198903,0.306693989,2.269791667,1
8120,5,1,2,0,6,0,1,0,7,1,3,1,0.671467764,-0.026639344,1.269791667,1
8121,5,0,2,0,3,0,3,1,2,0,1,1,-1.328532236,1.306693989,1.394791667,2
8123,4,0,1,1,4,1,2,0,2,0,3,1,-0.328532236,-0.026639344,-1.480208333,2
8124,4,0,3,0,6,1,2,1,1,0,1,1,-0.661865569,-0.026639344,-0.355208333,2
8125,7,0,2,1,7,1,1,0,1,0,3,1,0.004801097,-1.693306011,0.394791667,2
8126,6,1,1,1,6,1,3,1,3,0,2,1,1.671467764,-0.359972678,-2.480208333,3
8127,5,0,2,1,5,0,3,1,6,1,1,1,-1.328532236,0.306693989,0.144791667,3
8128,3,0,1,0,3,1,2,1,5,0,3,1,1.338134431,-1.026639344,1.769791667,2
8129,7,1,2,1,2,0,3,1,3,0,1,1,1.338134431,0.973360656,-0.480208333,3
8130,3,0,2,1,5,1,1,1,3,1,3,1,0.338134431,1.306693989,0.644791667,3
8131,3,0,3,1,3,1,2,1,4,1,1,1,0.671467764,0.306693989,-1.105208333,3
8132,5,0,2,1,5,0,3,0,5,0,1,0,0.338134431,-0.359972678,-1.230208333,1
8133,6,0,3,1,3,1,1,0,5,0,2,0,-0.661865569,0.973360656,0.644791667,1
8134,5,0,1,1,6,1,3,0,7,1,2,1,0.004801097,-2.693306011,-0.730208333,2
8136,4,1,2,1,2,0,3,0,1,0,1,1,0.004801097,-0.693306011,0.394791667,2
8137,5,1,3,1,4,0,2,1,3,0,1,1,0.004801097,1.306693989,-1.730208333,3
8138,6,1,1,1,4,0,2,1,6,1,3,1,-0.328532236,-0.026639344,0.769791667,3
8139,3,0,1,0,3,1,3,1,2,1,2,1,-1.661865569,-0.693306011,-0.105208333,2
8140,6,0,3,0,5,0,2,1,2,0,1,1,0.338134431,-1.026639344,-0.480208333,2
8141,6,1,2,1,4,1,1,0,3,0,3,0,-0.995198903,0.640027322,0.519791667,1
8142,5,0,2,0,5,0,1,0,5,0,3,0,-2.995198903,-1.693306011,-1.730208333,0
8143,5,1,1,1,4,0,3,0,2,0,2,1,-1.328532236,-1.026639344,-0.355208333,2
8145,6,1,2,1,5,1,3,1,5,1,1,1,1.004801097,-0.026639344,0.644791667,3
8146,5,0,3,1,5,1,1,1,5,0,2,1,0.338134431,-0.026639344,0.894791667,3
8147,5,0,1,0,1,0,3,1,3,1,2,1,1.671467764,0.640027322,-2.230208333,2
8148,5,0,1,1,3,0,2,0,4,0,3,0,-0.995198903,-0.359972678,-0.730208333,1
8149,4,1,3,0,4,0,2,0,2,1,1,1,-5.328532236,0.640027322,-2.730208333,1
8150,3,0,3,0,5,1,1,0,5,1,2,1,1.004801097,-0.359972678,1.394791667,1
8151,4,0,2,1,4,1,1,1,4,0,3,1,-5.328532236,1.973360656,-3.480208333,3
8152,1,1,3,1,2,0,2,1,2,0,1,1,-0.328532236,-0.359972678,-0.355208333,3
8153,4,1,1,0,4,0,2,0,2,0,3,1,0.004801097,-3.693306011,1.519791667,1
8156,5,0,2,0,5,0,1,1,2,0,3,1,-1.328532236,-2.026639344,-2.855208333,2
8158,7,0,2,0,4,1,3,1,5,0,1,1,-1.328532236,-1.026639344,0.019791667,2
8159,5,0,1,0,3,0,3,0,4,1,2,1,0.671467764,1.640027322,0.019791667,1
8160,4,0,3,1,6,0,1,0,7,0,2,1,0.004801097,-1.693306011,-0.355208333,2
8161,5,1,1,0,3,0,2,1,2,0,3,1,-1.328532236,-0.026639344,0.269791667,2
8162,7,0,2,1,7,1,1,1,7,0,3,1,0.671467764,-0.359972678,1.394791667,3
8165,3,0,3,0,3,0,1,0,3,1,2,0,-0.661865569,0.973360656,-1.230208333,0
8166,2,0,1,1,4,1,3,1,4,0,2,1,1.004801097,1.640027322,0.394791667,3
8167,5,1,3,0,2,0,2,1,5,1,1,1,0.671467764,-0.693306011,1.144791667,2
8168,3,1,3,0,3,1,2,0,4,0,1,1,0.004801097,-1.693306011,-0.730208333,1
8169,6,1,3,1,6,1,1,0,6,0,2,1,-1.328532236,-1.693306011,1.019791667,2
8170,6,1,1,0,3,0,2,1,3,0,3,1,1.004801097,0.306693989,1.019791667,2
8172,2,0,2,1,3,1,3,0,3,1,1,1,1.671467764,0.973360656,1.269791667,2
8173,4,0,3,1,2,0,2,1,2,1,1,1,-1.995198903,1.306693989,-0.355208333,3
8174,1,0,2,1,1,1,3,0,1,1,1,0,-0.995198903,-0.026639344,0.144791667,1
8176,5,0,1,1,3,1,2,0,5,1,3,0,-0.328532236,-0.693306011,1.269791667,1
8177,7,0,3,1,6,0,1,1,5,0,2,1,1.671467764,-1.693306011,1.519791667,3
8178,7,1,2,1,6,1,1,1,3,0,3,1,-0.661865569,-2.026639344,-1.855208333,3
8179,6,1,1,1,3,0,3,0,5,1,2,1,0.338134431,-0.359972678,-1.855208333,2
8180,5,1,2,1,6,1,3,1,4,1,1,1,0.338134431,0.973360656,1.394791667,3
8182,6,1,2,1,5,1,1,0,4,0,3,0,1.004801097,0.973360656,-0.105208333,1
8183,7,1,2,1,6,1,1,0,5,0,3,1,0.004801097,-2.026639344,0.769791667,2
8185,5,1,2,1,1,0,3,0,3,1,1,1,1.004801097,1.640027322,0.144791667,2
8186,5,0,3,1,2,1,2,1,1,0,1,1,0.338134431,-1.359972678,-0.355208333,3
8187,4,1,1,1,2,1,2,0,2,0,3,1,-1.661865569,0.306693989,-0.730208333,2
8188,7,1,2,1,7,0,1,0,4,0,3,1,0.671467764,-0.693306011,1.894791667,2
8189,6,1,2,1,5,0,1,1,2,1,3,1,0.338134431,1.306693989,-0.105208333,3
8190,7,0,1,0,4,0,3,1,5,0,2,1,0.671467764,-2.693306011,0.519791667,2
8191,5,0,1,1,4,0,3,0,2,0,2,1,1.338134431,1.640027322,2.019791667,2
8194,5,0,3,0,4,0,2,1,3,0,1,1,0.671467764,1.973360656,1.894791667,2
8195,7,1,3,1,5,0,2,1,6,0,1,0,-0.661865569,1.306693989,1.019791667,2
8196,5,1,3,1,2,1,2,1,4,1,1,1,-0.661865569,-1.359972678,-0.230208333,3
8198,6,0,2,1,6,0,1,1,4,0,3,1,0.338134431,0.306693989,0.144791667,3
8199,4,0,1,1,2,1,2,0,2,0,3,1,-0.328532236,2.306693989,-1.730208333,2
8200,4,1,3,0,5,1,1,0,4,0,2,0,0.338134431,2.306693989,-4.480208333,0
8201,7,1,1,1,4,0,2,1,2,0,3,1,-1.328532236,0.973360656,0.519791667,3
8202,5,0,1,0,5,1,3,1,5,1,2,1,-1.328532236,-0.026639344,-0.355208333,2
8203,6,0,3,1,5,1,1,0,3,1,2,0,-0.328532236,-1.026639344,-1.980208333,1
8205,7,1,2,1,4,0,3,1,6,0,1,1,1.004801097,-0.026639344,0.019791667,3
8206,4,1,2,1,4,1,3,1,5,1,1,1,0.338134431,-0.693306011,-0.355208333,3
8207,7,0,2,1,6,0,1,1,7,1,3,1,0.338134431,-0.026639344,-0.230208333,3
8208,4,1,2,1,4,0,1,0,1,0,3,1,1.338134431,-0.359972678,-0.230208333,2
8209,6,1,3,1,2,0,1,1,2,0,2,1,0.671467764,-0.026639344,0.894791667,3
8210,5,0,2,1,3,0,3,1,5,0,1,1,-0.328532236,0.306693989,-0.230208333,3
8211,2,0,3,1,2,1,2,1,2,1,1,1,-0.661865569,-1.693306011,-0.730208333,3
8212,6,1,2,0,3,0,3,1,6,1,1,1,-0.328532236,-1.693306011,0.019791667,2
8213,6,0,3,1,4,0,1,1,5,1,2,0,-0.661865569,-1.359972678,-0.855208333,2
8214,7,1,2,1,7,0,1,0,5,1,3,1,1.671467764,-2.693306011,1.644791667,2
8215,4,0,1,0,5,1,2,1,3,0,3,1,0.671467764,-1.026639344,-0.105208333,2
