"subject","focal","position","pos_num","x","x_lab","y","y_mc","manip_ok","comp","inv_app","inv_dl","inv_cat","x_brand","x_pop","x_rep","x_other_brand","x_other_rep","x_other_pop"
7991,"rep","first",1,1,"high",4,-0.046843177,1,0,-0.995198903,-0.693306011,-0.105208333,1,1,1,1,NA,1
7991,"pop","second",2,1,"high",5,0.474541752,1,1,-0.995198903,-0.693306011,-0.105208333,1,1,1,1,1,NA
7991,"brand","third",3,1,"high",4,-0.967413442,0,1,-0.995198903,-0.693306011,-0.105208333,1,1,1,NA,1,1
7992,"brand","first",1,1,"high",5,0.032586558,1,0,-0.328532236,-0.359972678,0.144791667,1,1,1,NA,1,1
7992,"pop","second",2,1,"high",4,-0.525458248,1,1,-0.328532236,-0.359972678,0.144791667,1,1,1,1,1,NA
7992,"rep","third",3,1,"high",4,-0.046843177,1,1,-0.328532236,-0.359972678,0.144791667,1,1,1,1,NA,1
7993,"pop","first",1,1,"high",3,-1.525458248,1,0,0.004801097,-0.026639344,0.269791667,0,1,0,0,0,NA
7993,"rep","second",2,0,"low",3,-1.046843177,1,1,0.004801097,-0.026639344,0.269791667,0,1,0,0,NA,1
7993,"brand","third",3,0,"low",4,-0.967413442,1,1,0.004801097,-0.026639344,0.269791667,0,1,0,NA,0,1
7994,"pop","first",1,0,"low",6,1.474541752,1,0,0.671467764,0.973360656,-0.230208333,1,0,0,1,0,NA
7994,"rep","second",2,0,"low",6,1.953156823,1,1,0.671467764,0.973360656,-0.230208333,1,0,0,1,NA,0
7994,"brand","third",3,1,"high",6,1.032586558,1,1,0.671467764,0.973360656,-0.230208333,1,0,0,NA,0,0
7995,"rep","first",1,1,"high",5,0.953156823,1,0,0.004801097,1.640027322,-0.605208333,1,0,1,1,NA,0
7995,"brand","second",2,1,"high",7,2.032586558,1,1,0.004801097,1.640027322,-0.605208333,1,0,1,NA,1,0
7995,"pop","third",3,0,"low",6,1.474541752,0,1,0.004801097,1.640027322,-0.605208333,1,0,1,1,1,NA
7996,"brand","first",1,1,"high",7,2.032586558,1,0,0.004801097,-3.693306011,-0.480208333,1,0,1,NA,1,0
7996,"pop","second",2,0,"low",7,2.474541752,0,1,0.004801097,-3.693306011,-0.480208333,1,0,1,1,1,NA
7996,"rep","third",3,1,"high",1,-3.046843177,1,1,0.004801097,-3.693306011,-0.480208333,1,0,1,1,NA,0
7997,"pop","first",1,0,"low",6,1.474541752,0,0,-1.995198903,-0.359972678,0.019791667,1,0,0,1,0,NA
7997,"rep","second",2,0,"low",6,1.953156823,0,1,-1.995198903,-0.359972678,0.019791667,1,0,0,1,NA,0
7997,"brand","third",3,1,"high",6,1.032586558,0,1,-1.995198903,-0.359972678,0.019791667,1,0,0,NA,0,0
7998,"pop","first",1,1,"high",4,-0.525458248,1,0,0.338134431,-0.359972678,-0.605208333,1,1,1,1,1,NA
7998,"brand","second",2,1,"high",4,-0.967413442,0,1,0.338134431,-0.359972678,-0.605208333,1,1,1,NA,1,1
7998,"rep","third",3,1,"high",4,-0.046843177,1,1,0.338134431,-0.359972678,-0.605208333,1,1,1,1,NA,1
7999,"rep","first",1,1,"high",6,1.953156823,1,0,0.671467764,0.973360656,-0.480208333,1,1,1,1,NA,1
7999,"pop","second",2,1,"high",3,-1.525458248,0,1,0.671467764,0.973360656,-0.480208333,1,1,1,1,1,NA
7999,"brand","third",3,1,"high",7,2.032586558,1,1,0.671467764,0.973360656,-0.480208333,1,1,1,NA,1,1
8001,"brand","first",1,1,"high",4,-0.967413442,1,0,-1.661865569,-1.693306011,-4.480208333,1,1,1,NA,1,1
8001,"rep","second",2,1,"high",2,-2.046843177,0,1,-1.661865569,-1.693306011,-4.480208333,1,1,1,1,NA,1
8001,"pop","third",3,1,"high",3,-1.525458248,1,1,-1.661865569,-1.693306011,-4.480208333,1,1,1,1,1,NA
8002,"rep","first",1,0,"low",4,-0.046843177,1,0,0.671467764,-0.026639344,0.519791667,0,0,0,0,NA,0
8002,"brand","second",2,0,"low",4,-0.967413442,1,1,0.671467764,-0.026639344,0.519791667,0,0,0,NA,0,0
8002,"pop","third",3,0,"low",4,-0.525458248,1,1,0.671467764,-0.026639344,0.519791667,0,0,0,0,0,NA
8003,"brand","first",1,1,"high",4,-0.967413442,0,0,-2.661865569,-0.693306011,-1.105208333,1,0,1,NA,1,0
8003,"pop","second",2,0,"low",4,-0.525458248,0,1,-2.661865569,-0.693306011,-1.105208333,1,0,1,1,1,NA
8003,"rep","third",3,1,"high",4,-0.046843177,0,1,-2.661865569,-0.693306011,-1.105208333,1,0,1,1,NA,0
8004,"rep","first",1,1,"high",5,0.953156823,0,0,-0.661865569,-0.359972678,0.019791667,1,1,1,1,NA,1
8004,"brand","second",2,1,"high",6,1.032586558,1,1,-0.661865569,-0.359972678,0.019791667,1,1,1,NA,1,1
8004,"pop","third",3,1,"high",4,-0.525458248,0,1,-0.661865569,-0.359972678,0.019791667,1,1,1,1,1,NA
8005,"brand","first",1,0,"low",4,-0.967413442,1,0,0.338134431,-0.693306011,0.769791667,0,0,0,NA,0,0
