"model","term","estimate","se","statistic","p_value","n","r2","adj_r2","sig"
"M2_pop","x_pop",0.533966729755779,0.468003779915842,1.14094533563767,0.255974156552424,143,0.141654527015891,0.0695797163073013,""
"M2_pop","x_brand",-0.185983997839826,0.375901936815317,-0.494767330584947,0.621593143566792,143,0.141654527015891,0.0695797163073013,""
"M2_pop","x_rep",0.25362444486292,0.377421649736497,0.671992306323688,0.50277202070688,143,0.141654527015891,0.0695797163073013,""
"M2_pop","inv_app_mc",-0.184006594106434,0.202033219239056,-0.910773954894553,0.364087319482127,143,0.141654527015891,0.0695797163073013,""
"M2_pop","inv_dl_mc",-0.252699258267681,0.15049733402451,-1.67909458267564,0.0955172867638548,143,0.141654527015891,0.0695797163073013,"*"
"M2_pop","inv_cat_mc",0.518472964044788,0.191190856680522,2.71180836284002,0.0075898892650854,143,0.141654527015891,0.0695797163073013,"***"
"M2_pop","x_pop:x_brand",0.391589871675664,0.546477475585016,0.716570927752252,0.474914448831872,143,0.141654527015891,0.0695797163073013,""
"M2_pop","x_pop:x_rep",-0.743727023284607,0.539234699138088,-1.37922693861018,0.170174908614994,143,0.141654527015891,0.0695797163073013,""
"M2_pop","x_pop:inv_app_mc",0.573069427217114,0.268897986156438,2.13117783218992,0.0349422423725684,143,0.141654527015891,0.0695797163073013,"**"
"M2_pop","x_pop:inv_dl_mc",0.0856797345943113,0.224369772494611,0.381868438166594,0.703177687446169,143,0.141654527015891,0.0695797163073013,""
"M2_pop","x_pop:inv_cat_mc",-0.429870176457051,0.279142048935353,-1.53996926688965,0.125979917337905,143,0.141654527015891,0.0695797163073013,""
"M2_brand","(Intercept)",4.34160245216266,0.33323184097821,13.0287743194581,6.52359538481135e-26,152,0.153344414588348,0.0868214757345757,"***"
"M2_brand","x_brand",1.03468257222216,0.432263654734764,2.39363768128282,0.018007563978889,152,0.153344414588348,0.0868214757345757,"**"
"M2_brand","x_rep",-0.285979714201705,0.360242863611198,-0.793852545293878,0.428624772885022,152,0.153344414588348,0.0868214757345757,""
"M2_brand","x_pop",0.406844636064691,0.363069656822493,1.12056909306415,0.264389888388495,152,0.153344414588348,0.0868214757345757,""
"M2_brand","inv_app_mc",-0.188447891791228,0.183269274575404,-1.02825687627029,0.305602262228638,152,0.153344414588348,0.0868214757345757,""
"M2_brand","inv_dl_mc",-0.0347768990859717,0.13916866203169,-0.249890302732469,0.803038484000872,152,0.153344414588348,0.0868214757345757,""
