lfdn,inv_app,inv_dl,inv_cat,y_rep_1,x_rep,man_check_rep,inv_app_mc,inv_dl_mc,inv_cat_mc
8236,6.333333333,3,3.75,4,0,0,1.004801097,-1.693306011,-0.730208333
8274,3.666666667,4.666666667,5.375,5,0,1,-1.661865569,-0.026639344,0.894791667
8238,4.666666667,5,4.125,5,1,0,-0.661865569,0.306693989,-0.355208333
8240,5.666666667,7,4.625,5,1,1,0.338134431,2.306693989,0.144791667
8245,4.333333333,3.333333333,4.625,4,1,0,-0.995198903,-1.359972678,0.144791667
8246,6.333333333,5.333333333,4.480208333,7,1,1,1.004801097,0.640027322,-3.33333E-10
8250,5.666666667,2.333333333,4.125,6,0,0,0.338134431,-2.359972678,-0.355208333
8252,4,6,3.875,4,1,1,-1.328532236,1.306693989,-0.605208333
8259,5.666666667,6.666666667,3.125,2,0,0,0.338134431,1.973360656,-1.355208333
8264,7,7,5.875,5,1,1,1.671467764,2.306693989,1.394791667
8266,1.666666667,4,4.625,6,0,1,-3.661865569,-0.693306011,0.144791667
8275,6.333333333,6,6.125,4,0,1,1.004801097,1.306693989,1.644791667
8281,4,5.333333333,4.875,4,0,1,-1.328532236,0.640027322,0.394791667
8284,4,6,4,2,0,1,-1.328532236,1.306693989,-0.480208333
8287,6.333333333,2.666666667,2.25,2,0,0,1.004801097,-2.026639344,-2.230208333
8289,7,6,4.480208333,3,0,1,1.671467764,1.306693989,-3.33333E-10
8292,6.333333333,6.333333333,5.75,6,1,0,1.004801097,1.640027322,1.269791667
8294,5.333333333,4.666666667,3.75,4,1,1,0.004801097,-0.026639344,-0.730208333
8297,6.666666667,6,5.875,2,0,0,1.338134431,1.306693989,1.394791667
8298,5,5,4.75,1,1,1,-0.328532236,0.306693989,0.269791667
8302,5.666666667,4,4.25,2,1,1,0.338134431,-0.693306011,-0.230208333
8303,4,3.666666667,4.480208333,2,1,0,-1.328532236,-1.026639344,-3.33333E-10
8304,4.666666667,1.666666667,2.5,7,0,0,-0.661865569,-3.026639344,-1.980208333
8306,5.666666667,4.333333333,5.25,6,0,1,0.338134431,-0.359972678,0.769791667
8314,5.333333333,5,2,4,1,1,0.004801097,0.306693989,-2.480208333
8315,7,5,7,6,0,0,1.671467764,0.306693989,2.519791667
8317,5,4.333333333,3.25,1,1,1,-0.328532236,-0.359972678,-1.230208333
8318,7,3.666666667,4.75,5,0,1,1.671467764,-1.026639344,0.269791667
8324,4.666666667,3,4.125,5,1,1,-0.661865569,-1.693306011,-0.355208333
8331,5.333333333,4,5.75,5,1,1,0.004801097,-0.693306011,1.269791667
8332,3,3,4.125,2,0,0,-2.328532236,-1.693306011,-0.355208333
8333,4,4,4,4,0,1,-1.328532236,-0.693306011,-0.480208333
8335,5.333333333,4.333333333,5.375,5,0,1,0.004801097,-0.359972678,0.894791667
8340,6.666666667,7,6,6,0,0,1.338134431,2.306693989,1.519791667
8345,5.666666667,3.666666667,3.875,4,1,1,0.338134431,-1.026639344,-0.605208333
8347,5.328532236,3.666666667,3.75,5,0,1,6.03508E-11,-1.026639344,-0.730208333
