lfdn,i,y_i,x_i,man_check_i,inv_app_mc,inv_dl_mc,inv_cat_mc,n,y_i_mc,i_name
8292,1,6,1,0,1.004801097,1.640027322,1.269791667,1,1.953156823,rep
8293,1,2,0,1,-0.661865569,-0.693306011,-0.480208333,2,-2.046843177,rep
8294,1,4,1,1,0.004801097,-0.026639344,-0.730208333,1,-0.046843177,rep
8295,1,1,0,0,0.338134431,1.306693989,-2.105208333,3,-3.046843177,rep
8296,1,6,1,1,1.338134431,0.306693989,-0.355208333,2,1.953156823,rep
8297,1,2,0,0,1.338134431,1.306693989,1.394791667,1,-2.046843177,rep
8298,1,1,1,1,-0.328532236,0.306693989,0.269791667,1,-3.046843177,rep
8300,1,2,0,1,-0.661865569,-1.026639344,1.769791667,3,-2.046843177,rep
8301,1,1,0,1,-1.328532236,0.306693989,-0.480208333,3,-3.046843177,rep
8302,1,2,1,1,0.338134431,-0.693306011,-0.230208333,1,-2.046843177,rep
8303,1,2,1,0,-1.328532236,-1.026639344,-4.480208333,1,-2.046843177,rep
8304,1,7,0,0,-0.661865569,-3.026639344,-1.980208333,1,2.953156823,rep
8305,1,4,1,0,-0.661865569,-1.693306011,-1.730208333,3,-0.046843177,rep
8306,1,6,0,1,0.338134431,-0.359972678,0.769791667,1,1.953156823,rep
8307,1,4,1,1,-0.328532236,0.640027322,1.019791667,3,-0.046843177,rep
8308,1,7,0,1,0.338134431,0.306693989,-2.605208333,2,2.953156823,rep
8309,1,6,1,1,0.338134431,1.640027322,2.019791667,3,1.953156823,rep
8310,1,5,0,1,0.338134431,0.306693989,-0.105208333,2,0.953156823,rep
8312,1,4,1,0,0.338134431,0.973360656,1.144791667,3,-0.046843177,rep
8314,1,4,1,1,0.004801097,0.306693989,-2.480208333,1,-0.046843177,rep
8315,1,6,0,0,1.671467764,0.306693989,2.519791667,1,1.953156823,rep
8316,1,1,0,1,-2.995198903,-2.693306011,0.519791667,3,-3.046843177,rep
