lfdn,inv_app,inv_dl,inv_cat,y_rep_3,x_rep,man_check_rep,y_pop_1e2,x_pop,y_brand_1e2,x_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_pop,ITD_brand,ITD_pop_2,ITD_brand_2
8232,3.666666667,4.333333333,5.25,2,0,1,3,0,5,0,-1.661865569,-0.359972678,0.769791667,0,1,-1.525458248,0.032586558
8237,5.666666667,3.666666667,4.75,1,0,1,3,1,1,0,0.338134431,-1.026639344,0.269791667,0,0,-1.525458248,-3.967413442
8241,4.666666667,4.333333333,4.480208333,3,0,1,6,1,4,0,-0.661865569,-0.359972678,-3.33E-10,1,0,1.474541752,-0.967413442
8249,4.666666667,4.333333333,5.625,7,0,0,4,0,7,1,-0.661865569,-0.359972678,1.144791667,0,1,-0.525458248,2.032586558
8251,6.333333333,2.666666667,3.625,2,0,1,3,1,3,0,1.004801097,-2.026639344,-0.855208333,0,0,-1.525458248,-1.967413442
8254,6.666666667,4.333333333,1.375,2,1,1,3,1,2,0,1.338134431,-0.359972678,-3.105208333,0,0,-1.525458248,-2.967413442
8260,5.666666667,4.333333333,1.75,2,0,1,5,0,5,0,0.338134431,-0.359972678,-2.730208333,1,1,0.474541752,0.032586558
8263,6,3.333333333,4,4,1,1,5,0,7,1,0.671467764,-1.359972678,-0.480208333,1,1,0.474541752,2.032586558
8265,3.333333333,6,4.125,4,0,0,4,1,4,0,-1.995198903,1.306693989,-0.355208333,0,0,-0.525458248,-0.967413442
8268,6.666666667,5,4.125,2,0,1,5,0,5,0,1.338134431,0.306693989,-0.355208333,1,1,0.474541752,0.032586558
8271,6,7,7,1,0,1,6,1,2,1,0.671467764,2.306693989,2.519791667,1,0,1.474541752,-2.967413442
8276,5.666666667,5,3.375,5,1,1,4,0,5,1,0.338134431,0.306693989,-1.105208333,0,1,-0.525458248,0.032586558
8279,5.666666667,3.666666667,4.25,2,0,1,6,0,5,0,0.338134431,-1.026639344,-0.230208333,1,1,1.474541752,0.032586558
8282,5.333333333,3.666666667,2.75,3,0,1,4,0,5,1,0.004801097,-1.026639344,-1.730208333,0,1,-0.525458248,0.032586558
