lfdn,inv_app,inv_dl,inv_cat,y_brand_1,x_brand,man_check_brand,inv_app_mc,inv_dl_mc,inv_cat_mc
8385,6.333333333,4.333333333,5.875,4,0,1,1.004801097,-0.359972678,1.394791667
8391,4.333333333,3,3.875,4,1,1,-0.995198903,-1.693306011,-0.605208333
8413,6,4.333333333,6.125,7,1,1,0.671467764,-0.359972678,1.644791667
8420,6,5,5.5,7,1,1,0.671467764,0.306693989,1.019791667
8421,2.666666667,5.333333333,4.625,5,0,0,-2.661865569,0.640027322,0.144791667
8427,4,4.333333333,4.5,5,1,1,-1.328532236,-0.359972678,0.019791667
8428,5.666666667,5,3.75,4,1,0,0.338134431,0.306693989,-0.730208333
8433,6,6,3.375,6,1,1,0.671467764,1.306693989,-1.105208333
8434,4,1,3.5,6,1,1,-1.328532236,-3.693306011,-0.980208333
8435,5.333333333,2.666666667,4.75,7,1,1,0.004801097,-2.026639344,0.269791667
8437,7,5,4.75,6,0,1,1.671467764,0.306693989,0.269791667
8438,6,5,5.125,6,1,0,0.671467764,0.306693989,0.644791667
8441,4,4,4.375,1,1,0,-1.328532236,-0.693306011,-0.105208333
8445,6.666666667,3,3.25,6,1,1,1.338134431,-1.693306011,-1.230208333
8446,3.666666667,3,3.5,6,0,1,-1.661865569,-1.693306011,-0.980208333
8448,6.333333333,6,5.125,4,0,1,1.004801097,1.306693989,0.644791667
8450,5.333333333,6.333333333,3.875,7,0,1,0.004801097,1.640027322,-0.605208333
8454,4,4,4.75,7,1,1,-1.328532236,-0.693306011,0.269791667
8455,5.666666667,6.666666667,3.125,4,0,0,0.338134431,1.973360656,-1.355208333
8462,4,4.666666667,4.75,6,1,1,-1.328532236,-0.026639344,0.269791667
8463,5.666666667,4.666666667,5.875,3,0,0,0.338134431,-0.026639344,1.394791667
8474,5.666666667,5.333333333,3.375,2,0,1,0.338134431,0.640027322,-1.105208333
8475,6,2,4.125,4,0,1,0.671467764,-2.693306011,-0.355208333
8476,5,5.666666667,4,4,1,0,-0.328532236,0.973360656,-0.480208333
8478,5.333333333,6,4.5,2,0,0,0.004801097,1.306693989,0.019791667
8482,6.333333333,6,5.875,1,0,1,1.004801097,1.306693989,1.394791667
8484,6,4,4.25,6,1,1,0.671467764,-0.693306011,-0.230208333
8486,5,4.333333333,4.125,7,1,1,-0.328532236,-0.359972678,-0.355208333
8490,5.333333333,5.666666667,4.75,6,0,1,0.004801097,0.973360656,0.269791667
8494,4.666666667,4.666666667,4.125,7,1,1,-0.661865569,-0.026639344,-0.355208333
8495,6.666666667,6.333333333,4.25,6,1,1,1.338134431,1.640027322,-0.230208333
