lfdn,inv_app,inv_dl,inv_cat,y_rep_1e2,x_rep,y_pop_1e2,x_pop,y_brand_3,x_brand,man_check_brand,inv_app_mc,inv_dl_mc,inv_cat_mc,ITD_rep,ITD_pop,ITD_rep_2,ITD_pop_2
8425,7,4,5,6,1,6,1,6,1,0,1.671467764,-0.693306011,0.519791667,1,1,1.953156823,1.474541752
8430,6,4,3.75,3,1,7,1,4,0,1,0.671467764,-0.693306011,-0.730208333,0,1,-1.046843177,2.474541752
8440,6.333333333,5.333333333,5.375,5,1,4,0,5,0,1,1.004801097,0.640027322,0.894791667,1,0,0.953156823,-0.525458248
8444,5.333333333,3.333333333,4,2,0,4,1,3,0,1,0.004801097,-1.359972678,-0.480208333,0,0,-2.046843177,-0.525458248
8452,5,4,3.5,4,0,7,1,6,0,0,-0.328532236,-0.693306011,-0.980208333,0,1,-0.046843177,2.474541752
8457,6,3.666666667,5.875,3,0,6,1,6,1,1,0.671467764,-1.026639344,1.394791667,0,1,-1.046843177,1.474541752
8458,6,5.666666667,4,5,1,7,1,5,0,1,0.671467764,0.973360656,-0.480208333,1,1,0.953156823,2.474541752
8459,7,7,5.375,7,1,5,1,6,0,0,1.671467764,2.306693989,0.894791667,1,1,2.953156823,0.474541752
8460,6,4.333333333,5.75,3,0,6,1,6,0,1,0.671467764,-0.359972678,1.269791667,0,1,-1.046843177,1.474541752
8461,7,7,6.625,6,0,7,1,7,0,0,1.671467764,2.306693989,2.144791667,1,1,1.953156823,2.474541752
8464,4.666666667,5.333333333,5.125,6,1,6,0,3,1,0,-0.661865569,0.640027322,0.644791667,1,1,1.953156823,1.474541752
8466,6.333333333,3,5.375,2,1,5,1,5,0,1,1.004801097,-1.693306011,0.894791667,0,1,-2.046843177,0.474541752
8468,6.666666667,5.333333333,5.125,3,0,7,1,4,0,0,1.338134431,0.640027322,0.644791667,0,1,-1.046843177,2.474541752
8469,5.666666667,5,4.480208333,5,0,2,0,6,0,0,0.338134431,0.306693989,-3.33E-10,1,0,0.953156823,-2.525458248
8470,6,6,4.625,6,0,5,0,2,0,1,0.671467764,1.306693989,0.144791667,1,1,1.953156823,0.474541752
8471,4.333333333,3.666666667,4.125,3,0,3,0,2,1,1,-0.995198903,-1.026639344,-0.355208333,0,0,-1.046843177,-1.525458248
8473,6.333333333,7,3.25,5,1,7,0,7,1,1,1.004801097,2.306693989,-1.230208333,1,1,0.953156823,2.474541752
8479,7,5.666666667,5,2,0,5,1,4,0,0,1.671467764,0.973360656,0.519791667,0,1,-2.046843177,0.474541752
8480,6.333333333,5.666666667,3.75,5,0,4,0,7,1,1,1.004801097,0.973360656,-0.730208333,1,0,0.953156823,-0.525458248
8481,7,7,6.375,7,1,7,1,7,1,1,1.671467764,2.306693989,1.894791667,1,1,2.953156823,2.474541752
8492,6.666666667,5.666666667,3.875,5,1,4,1,3,0,1,1.338134431,0.973360656,-0.605208333,1,0,0.953156823,-0.525458248
8493,5.333333333,4.333333333,3.125,2,0,5,1,6,0,1,0.004801097,-0.359972678,-1.355208333,0,1,-2.046843177,0.474541752
8496,7,6,5.625,3,0,4,1,6,1,1,1.671467764,1.306693989,1.144791667,0,0,-1.046843177,-0.525458248
8497,6.333333333,6,6.125,2,1,6,0,5,1,1,1.004801097,1.306693989,1.644791667,0,1,-2.046843177,1.474541752
8498,5,7,5.375,1,1,1,1,7,1,1,-0.328532236,2.306693989,0.894791667,0,0,-3.046843177,-3.525458248
