lfdn,inv_app,inv_dl,inv_cat,y_pop,x_pop,comp_pop,man_check_pop,inv_app_mc,inv_dl_mc,inv_cat_mc
8152,5,4.333333333,4.125,2,0,1,1,-0.328532236,-0.359972678,-0.355208333
8153,5.333333333,1,6,4,0,1,0,0.004801097,-3.693306011,1.519791667
8156,4,2.666666667,1.625,5,0,0,1,-1.328532236,-2.026639344,-2.855208333
8158,4,3.666666667,4.5,4,1,1,1,-1.328532236,-1.026639344,0.019791667
8159,6,6.333333333,4.5,3,0,1,0,0.671467764,1.640027322,0.019791667
8160,5.333333333,3,4.125,6,0,0,0,0.004801097,-1.693306011,-0.355208333
8161,4,4.666666667,4.75,3,0,1,1,-1.328532236,-0.026639344,0.269791667
8162,6,4.333333333,5.875,7,1,0,1,0.671467764,-0.359972678,1.394791667
8165,4.666666667,5.666666667,3.25,3,0,0,0,-0.661865569,0.973360656,-1.230208333
8166,6.333333333,6.333333333,4.875,4,1,1,1,1.004801097,1.640027322,0.394791667
8167,6,4,5.625,2,0,1,1,0.671467764,-0.693306011,1.144791667
8168,5.333333333,3,3.75,3,1,1,0,0.004801097,-1.693306011,-0.730208333
8169,4,3,5.5,6,1,0,0,-1.328532236,-1.693306011,1.019791667
8170,6.333333333,5,5.5,3,0,1,1,1.004801097,0.306693989,1.019791667
8172,7,5.666666667,5.75,3,1,1,0,1.671467764,0.973360656,1.269791667
8173,3.333333333,6,4.125,2,0,1,1,-1.995198903,1.306693989,-0.355208333
8174,4.333333333,4.666666667,4.625,1,1,1,0,-0.995198903,-0.026639344,0.144791667
8176,5,4,5.75,3,1,1,0,-0.328532236,-0.693306011,1.269791667
8177,7,3,6,6,0,0,1,1.671467764,-1.693306011,1.519791667
8178,4.666666667,2.666666667,2.625,6,1,0,1,-0.661865569,-2.026639344,-1.855208333
8179,5.666666667,4.333333333,2.625,3,0,1,0,0.338134431,-0.359972678,-1.855208333
8180,5.666666667,5.666666667,5.875,6,1,1,1,0.338134431,0.973360656,1.394791667
8182,6.333333333,5.666666667,4.375,5,1,0,0,1.004801097,0.973360656,-0.105208333
8183,5.333333333,2.666666667,5.25,6,1,0,0,0.004801097,-2.026639344,0.769791667
8185,6.333333333,6.333333333,4.625,1,0,1,0,1.004801097,1.640027322,0.144791667
8186,5.666666667,3.333333333,4.125,2,1,1,1,0.338134431,-1.359972678,-0.355208333
8187,3.666666667,5,3.75,2,1,1,0,-1.661865569,0.306693989,-0.730208333
8188,6,4,6.375,7,0,0,0,0.671467764,-0.693306011,1.894791667
8189,5.666666667,6,4.375,5,0,0,1,0.338134431,1.306693989,-0.105208333
8190,6,2,5,4,0,1,1,0.671467764,-2.693306011,0.519791667
8191,6.666666667,6.333333333,6.5,4,0,1,0,1.338134431,1.640027322,2.019791667
8194,6,6.666666667,6.375,4,0,1,1,0.671467764,1.973360656,1.894791667
