lfdn,i,y_i,x_i,man_check_i,inv_app_mc,inv_dl_mc,inv_cat_mc,n,y_i_mc,i_name,n_name,x_i_name
8038,1,5,0,0,-1.661865569,2.306693989,0.019791667,3,0.953156823,rep,third,low
8038,2,2,0,0,-1.661865569,2.306693989,0.019791667,2,-2.525458248,pop,second,low
8038,3,6,1,1,-1.661865569,2.306693989,0.019791667,1,1.032586558,brand,first,high
8039,1,2,1,1,-0.995198903,2.306693989,-0.855208333,2,-2.046843177,rep,second,high
8039,2,1,1,0,-0.995198903,2.306693989,-0.855208333,1,-3.525458248,pop,first,high
8039,3,2,1,1,-0.995198903,2.306693989,-0.855208333,3,-2.967413442,brand,third,high
8040,1,2,1,0,-0.995198903,-1.693306011,0.269791667,2,-2.046843177,rep,second,high
8040,2,4,0,0,-0.995198903,-1.693306011,0.269791667,3,-0.525458248,pop,third,low
8040,3,6,1,1,-0.995198903,-1.693306011,0.269791667,1,1.032586558,brand,first,high
8041,1,5,0,1,0.004801097,0.973360656,1.519791667,2,0.953156823,rep,second,low
8041,2,4,1,1,0.004801097,0.973360656,1.519791667,3,-0.525458248,pop,third,high
8041,3,5,0,1,0.004801097,0.973360656,1.519791667,1,0.032586558,brand,first,low
8042,1,2,0,0,-0.328532236,0.973360656,-1.605208333,3,-2.046843177,rep,third,low
8042,2,4,1,1,-0.328532236,0.973360656,-1.605208333,2,-0.525458248,pop,second,high
8042,3,3,1,1,-0.328532236,0.973360656,-1.605208333,1,-1.967413442,brand,first,high
8043,1,2,1,0,-0.661865569,-2.359972678,-0.355208333,3,-2.046843177,rep,third,high
8043,2,6,0,0,-0.661865569,-2.359972678,-0.355208333,1,1.474541752,pop,first,low
8043,3,7,1,1,-0.661865569,-2.359972678,-0.355208333,2,2.032586558,brand,second,high
8044,1,7,1,1,0.004801097,-1.359972678,0.144791667,3,2.953156823,rep,third,high
8044,2,6,1,1,0.004801097,-1.359972678,0.144791667,1,1.474541752,pop,first,high
8044,3,6,1,0,0.004801097,-1.359972678,0.144791667,2,1.032586558,brand,second,high
8045,1,5,1,1,-0.328532236,0.973360656,-0.105208333,2,0.953156823,rep,second,high
8045,2,4,0,1,-0.328532236,0.973360656,-0.105208333,1,-0.525458248,pop,first,low
8045,3,4,0,0,-0.328532236,0.973360656,-0.105208333,3,-0.967413442,brand,third,low
8046,1,6,1,1,-0.661865569,0.973360656,-1.855208333,2,1.953156823,rep,second,high
8046,2,5,1,1,-0.661865569,0.973360656,-1.855208333,1,0.474541752,pop,first,high
8046,3,6,0,0,-0.661865569,0.973360656,-1.855208333,3,1.032586558,brand,third,low
8047,1,1,0,1,-1.328532236,1.973360656,-0.605208333,3,-3.046843177,rep,third,low
8047,2,1,0,1,-1.328532236,1.973360656,-0.605208333,1,-3.525458248,pop,first,low
8047,3,5,1,1,-1.328532236,1.973360656,-0.605208333,2,0.032586558,brand,second,high
8049,1,5,0,1,-0.995198903,0.640027322,-0.730208333,3,0.953156823,rep,third,low
8049,2,6,0,1,-0.995198903,0.640027322,-0.730208333,1,1.474541752,pop,first,low
8049,3,7,1,1,-0.995198903,0.640027322,-0.730208333,2,2.032586558,brand,second,high
8050,1,4,0,1,0.338134431,-0.359972678,-0.980208333,1,-0.046843177,rep,first,low
8050,2,4,1,0,0.338134431,-0.359972678,-0.980208333,3,-0.525458248,pop,third,high
8050,3,4,1,0,0.338134431,-0.359972678,-0.980208333,2,-0.967413442,brand,second,high
8052,1,4,1,1,0.338134431,-1.693306011,-1.480208333,2,-0.046843177,rep,second,high
8052,2,3,0,0,0.338134431,-1.693306011,-1.480208333,1,-1.525458248,pop,first,low
8052,3,6,1,1,0.338134431,-1.693306011,-1.480208333,3,1.032586558,brand,third,high
8054,1,1,0,1,-0.995198903,-1.026639344,-0.105208333,2,-3.046843177,rep,second,low
8054,2,2,0,1,-0.995198903,-1.026639344,-0.105208333,1,-2.525458248,pop,first,low
8054,3,5,1,1,-0.995198903,-1.026639344,-0.105208333,3,0.032586558,brand,third,high
8055,1,7,1,1,0.004801097,0.306693989,0.144791667,3,2.953156823,rep,third,high
8055,2,5,0,0,0.004801097,0.306693989,0.144791667,1,0.474541752,pop,first,low
8055,3,6,0,1,0.004801097,0.306693989,0.144791667,2,1.032586558,brand,second,low
8056,1,6,0,1,0.004801097,1.640027322,1.269791667,3,1.953156823,rep,third,low
